feature,mean_importance
1-Propanol,-0.6419870064858486
2-Tridecanol,-0.34138018208292287
"1H-Pyrrole, 2-methyl-",-0.16253542538781462
2-Pentanone,-0.15887190539876653
1-Butanol,-0.15376761619135673
Butyrolactone ,-0.027848514283901338
"1,4-Butanediol",-0.027848514283901338
"1-Butanol, 3-methyl-, acetate",-0.011672041878005857
"2-Pentanol, 2-methyl-",-0.001865939178548448
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-5.882352827057957e-09
2-Pentanol,-4.705882172828524e-09
2-Undecanol,-3.529411696234774e-09
"Acetophenone, 2'-amino-",-1.1764705654115915e-09
"1-Pentanol, 2-methyl-",0.0
 1-Hexadecanol,0.0
"Thiocyanic acid, methyl ester",0.0
2-Tridecanone,0.0
2-Dodecanone,0.0
"Propanoic acid, 2-methyl-",0.0
Tetradecanal,0.0
"Acetic acid, decyl ester",0.0
Methyl tetradecanoate,0.0
Indole,0.0
Dodecane,0.0
"Butanoic acid, 2-methyl-, methyl ester",0.0
"Propanoic acid, ethyl ester",0.0
 2-Pentadecanone,0.0
Isobutyl acetate,0.0
1-Tetradecanol,0.0
n-Tridecan-1-ol,0.0
" Decanoic acid, ethyl ester",0.0
Hexadecanal,0.0
Ethanol,2.352940953187499e-09
2-Hexanone,0.003384493793550369
Decane,0.004770171860096184
1-Dodecanol,0.004770177742449011
1 - Undecene,0.008154670359528904
Amylene hydrate,0.009540353131956714
"2-Heptanone, 4,6-dimethyl-",0.010153484910062804
"Benzoic acid, methyl ester",0.012778701984347496
Methyl isovalerate,0.013537979880083739
"1-Heptanol, 2,4-dimethyl-,",0.013537979880083739
"1-Propanol, 2-methyl-",0.013697403802181807
1-Octanol,0.014310533227347034
Methyl Isobutyl Ketone,0.015696221882127402
Acetic acid,0.016309345424939715
Propanoic acid,0.01644221373810213
 S-Methyl 3-methylbutanethioate,0.016922467791281724
2-Nonanol,0.016922474850104674
1-Decanol,0.019080710969796043
" Dodecanoic acid, ethyl ester",0.019080710969796043
"1-Butanol, 3-methyl-",0.020466392565753465
2-Heptanone,0.021705928044080468
"Tetradecanoic acid, ethyl ester",0.023850888712245055
 Ethyl Acetate,0.02446401813740966
Pyrrole,0.025077141680222237
"Butanoic acid, 3-methyl-",0.027235383682265545
"Butanoic acid, 2-methyl-, ethyl ester",0.030619878652286568
"2-Heptanol, 4-methyl-",0.03600318581990072
2-Undecanone,0.03738886623938793
Acetoin,0.038774547835344994
Ethyl isocyanide,0.04077336356234973
" 3-Buten-1-ol, 3-methyl-",0.04263930391736874
2-Nonanone ,0.05016756822373534
Methyl thiolacetate,0.05985407453214542
Phenylethyl Alcohol,0.20269565246617632
n-Pentadecanol,0.614696511651767
