feature,shap_importance
"2-Heptanol, 4-methyl-",1.5935700245195101
Acetoin,1.4804867629989986
Methyl thiolacetate,0.8673208094931278
Decane,0.840896307137486
"1-Butanol, 3-methyl-",0.7797864930314552
Methyl Isobutyl Ketone,0.6917966853845373
"1H-Pyrrole, 2-methyl-",0.6332708144562545
Butyrolactone ,0.5410033278191215
 Ethyl Acetate,0.528049147856921
"1,4-Butanediol",0.5113756142383677
2-Hexanone,0.4586430638795814
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.43195248642196854
"2-Heptanone, 4,6-dimethyl-",0.40126625106453156
"Butanoic acid, 2-methyl-, ethyl ester",0.4007405824004276
" 3-Buten-1-ol, 3-methyl-",0.39578104816671356
Amylene hydrate,0.3921987054636129
"2-Pentanol, 2-methyl-",0.3879253346795738
2-Nonanone ,0.3410939797654487
Dodecane,0.3410149724063199
Methyl isovalerate,0.33831773795510534
 S-Methyl 3-methylbutanethioate,0.3126404541062266
"1-Propanol, 2-methyl-",0.31034586537491077
2-Nonanol,0.30448499387816713
2-Dodecanone,0.2677307384493487
"Propanoic acid, 2-methyl-",0.26475199963432317
Pyrrole,0.26299086127446886
1 - Undecene,0.2587545284577526
"1-Pentanol, 2-methyl-",0.2587247511829071
"Acetophenone, 2'-amino-",0.25623373614353967
"Butanoic acid, 2-methyl-, methyl ester",0.2536818181761316
Ethanol,0.24101034530787607
1-Butanol,0.23445739659737086
Ethyl isocyanide,0.23104688746014446
"1-Butanol, 3-methyl-, acetate",0.22629243103007077
2-Pentanol,0.22524410273978937
Acetic acid,0.22509901546835243
1-Decanol,0.222694404871369
"Thiocyanic acid, methyl ester",0.2132672388323196
Propanoic acid,0.21089564301897687
n-Tridecan-1-ol,0.2083308413631476
1-Octanol,0.18104452280797345
Isobutyl acetate,0.1783439387771076
2-Tridecanol,0.17540056321855296
Phenylethyl Alcohol,0.14945861644511196
"Acetic acid, decyl ester",0.14766274931735576
"Butanoic acid, 3-methyl-",0.1421136526999083
1-Dodecanol,0.14185909100682803
"Propanoic acid, ethyl ester",0.12127376221389492
2-Tridecanone,0.1139715462031167
"1-Heptanol, 2,4-dimethyl-,",0.1010545394926366
 2-Pentadecanone,0.09783143701819055
Hexadecanal,0.09394768375788697
1-Propanol,0.09010578281698095
Methyl tetradecanoate,0.0864735441617274
2-Pentanone,0.07064943878007572
" Decanoic acid, ethyl ester",0.06494775578040785
n-Pentadecanol,0.057451724945860434
1-Tetradecanol,0.048558464269943744
"Benzoic acid, methyl ester",0.04544661459408295
 1-Hexadecanol,0.04414701568506513
2-Undecanol,0.04406780137329024
" Dodecanoic acid, ethyl ester",0.04128505291909162
Indole,0.028064595583632206
2-Heptanone,0.026145051224345503
"Tetradecanoic acid, ethyl ester",0.024626095784243376
2-Undecanone,0.024206918054466557
Tetradecanal,0.02139402324031591
