feature,mean_importance
"2-Pentanol, 2-methyl-",-0.04406393905214821
Decane,-0.04394815750132676
Amylene hydrate,-0.04210996273902236
1 - Undecene,-0.016193434959958907
2-Pentanol,-0.0138304966681967
" 3-Buten-1-ol, 3-methyl-",-0.01343510252867352
Methyl tetradecanoate,-0.013222559638351944
 1-Hexadecanol,-0.008597094416336843
 S-Methyl 3-methylbutanethioate,-0.008590103236796976
"1-Pentanol, 2-methyl-",-0.005389443867426924
"1-Propanol, 2-methyl-",-0.003304950221379349
"Butanoic acid, 3-methyl-",-0.002948938108716587
Indole,-0.0016441156077262487
"1-Butanol, 3-methyl-, acetate",-0.0007904176691071907
Isobutyl acetate,-0.0006760041388195082
1-Propanol,-0.00040015595560718986
"1-Heptanol, 2,4-dimethyl-,",-0.0003511682380442138
1-Dodecanol,3.593704577901646e-05
2-Undecanone,0.0001597844907159085
"Thiocyanic acid, methyl ester",0.00020976621169495612
Tetradecanal,0.0002590042776574486
"Tetradecanoic acid, ethyl ester",0.00028656368775674125
2-Tridecanone,0.0003673358598708376
2-Dodecanone,0.0004105503001267219
1-Tetradecanol,0.000411967751294523
" Dodecanoic acid, ethyl ester",0.00042296979577675643
Dodecane,0.00043924179570933863
2-Heptanone,0.0006332786136977797
" Decanoic acid, ethyl ester",0.000645093766831556
2-Undecanol,0.0006877196172263456
Pyrrole,0.001143972698029161
2-Tridecanol,0.0012178328491216583
"Propanoic acid, ethyl ester",0.0016238311682548246
"Benzoic acid, methyl ester",0.0027355424704037625
"2-Heptanone, 4,6-dimethyl-",0.004526285970922644
n-Pentadecanol,0.005297198913507601
"Butanoic acid, 2-methyl-, methyl ester",0.007121324753181485
2-Pentanone,0.0078030986063137965
Hexadecanal,0.008552971224251199
2-Nonanone ,0.008708402635483064
"1-Butanol, 3-methyl-",0.009472083490196287
Acetic acid,0.009496483639068954
"Acetophenone, 2'-amino-",0.010223549001202236
"Propanoic acid, 2-methyl-",0.010941191108037863
 2-Pentadecanone,0.011542344470673833
2-Hexanone,0.016069059914645318
Ethanol,0.017390790916493155
"Acetic acid, decyl ester",0.017987957955232815
n-Tridecan-1-ol,0.017991837403633047
2-Nonanol,0.021089116012009114
Methyl isovalerate,0.022666328851723667
1-Octanol,0.02364961925125192
Propanoic acid,0.024420567627445183
1-Butanol,0.024639922967087214
Phenylethyl Alcohol,0.026177034013767104
"1,4-Butanediol",0.026828367893386457
 Ethyl Acetate,0.02714162580659733
Methyl Isobutyl Ketone,0.032078189927257056
"Butanoic acid, 2-methyl-, ethyl ester",0.03392352088290853
1-Decanol,0.03662597529405102
Butyrolactone ,0.036638162336777386
"1H-Pyrrole, 2-methyl-",0.042203746173876275
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.0436368528680145
Ethyl isocyanide,0.06232907325273333
Methyl thiolacetate,0.08403947141817678
Acetoin,0.4304095461943248
"2-Heptanol, 4-methyl-",0.46094926805824
