feature,mean_importance
 Ethyl Acetate,-0.08974678242820669
"Benzoic acid, methyl ester",-0.036790910784929375
Indole,-0.03624347142516663
2-Heptanone,-0.032521760226173126
Acetic acid,-0.025863024020324386
2-Pentanone,-0.02040838441752718
"1-Propanol, 2-methyl-",-0.018291017083862604
Hexadecanal,-0.014742202642342717
2-Dodecanone,-0.014057093702748925
"1-Pentanol, 2-methyl-",-0.013427526058627182
1-Tetradecanol,-0.011941190897520215
 1-Hexadecanol,-0.011904614147202685
n-Tridecan-1-ol,-0.011006248414193343
Methyl isovalerate,-0.010785541051628078
"Tetradecanoic acid, ethyl ester",-0.010349820327997084
" Dodecanoic acid, ethyl ester",-0.009996330788700358
" Decanoic acid, ethyl ester",-0.0098191079771494
"Propanoic acid, ethyl ester",-0.009352916060858429
 2-Pentadecanone,-0.009170212352880125
"2-Pentanol, 2-methyl-",-0.008123794719614719
2-Tridecanone,-0.006809667583998813
Tetradecanal,-0.006434920237465003
Butyrolactone ,-0.006238841867927747
"1,4-Butanediol",-0.005968758100106631
Methyl thiolacetate,-0.005179938066985168
1-Propanol,-0.0047069528595338195
Amylene hydrate,-0.002036150446640339
1 - Undecene,-0.001848638820527515
2-Nonanol,-0.0014282509550768707
"1-Butanol, 3-methyl-",-0.0011925500131334532
n-Pentadecanol,-0.0011461592908513563
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-0.00043600433541183257
Methyl tetradecanoate,-0.0003134997927930927
"1-Heptanol, 2,4-dimethyl-,",0.0005787256947381691
Dodecane,0.003289209667253823
2-Pentanol,0.0033237781715358627
 S-Methyl 3-methylbutanethioate,0.003872927398452719
1-Dodecanol,0.004659243212709918
"1-Butanol, 3-methyl-, acetate",0.004791911965793405
2-Undecanol,0.006717330095749719
"Butanoic acid, 2-methyl-, ethyl ester",0.007009563998577872
"Butanoic acid, 3-methyl-",0.007456105126449342
"Acetophenone, 2'-amino-",0.007658015670595075
Isobutyl acetate,0.00767494319740647
2-Tridecanol,0.009229722371118165
Ethanol,0.009642082257828921
2-Undecanone,0.010824859331296621
"Thiocyanic acid, methyl ester",0.013076816932197477
Propanoic acid,0.015915721565232945
Phenylethyl Alcohol,0.016096632798735733
"2-Heptanone, 4,6-dimethyl-",0.019913616465880614
Methyl Isobutyl Ketone,0.026150807184371107
"Acetic acid, decyl ester",0.03239014346784812
Pyrrole,0.033408587447518165
"1H-Pyrrole, 2-methyl-",0.03412603906405184
1-Octanol,0.03474941477260388
2-Hexanone,0.03605447962540696
1-Decanol,0.03781243188554569
" 3-Buten-1-ol, 3-methyl-",0.046486396240707696
Decane,0.054020202764335244
Ethyl isocyanide,0.06542855343410407
"Butanoic acid, 2-methyl-, methyl ester",0.07933975238124301
2-Nonanone ,0.08140729254018861
Acetoin,0.1056375821285765
1-Butanol,0.11318202191653363
"Propanoic acid, 2-methyl-",0.11945183704796018
"2-Heptanol, 4-methyl-",0.13634045182558732
