feature,mean_importance
Indole,-4.4408920985006264e-17
n-Tridecan-1-ol,-4.4408920985006264e-17
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-4.4408920985006264e-17
1-Butanol,-4.4408920985006264e-17
"Benzoic acid, methyl ester",-2.2204460492503132e-17
Butyrolactone ,-2.2204460492503132e-17
2-Nonanone ,-2.2204460492503132e-17
2-Undecanol,-2.2204460492503132e-17
"Butanoic acid, 3-methyl-",-2.2204460492503132e-17
Acetoin,-2.2204460492503132e-17
2-Dodecanone,-2.2204460492503132e-17
 S-Methyl 3-methylbutanethioate,-2.2204460492503132e-17
"1-Butanol, 3-methyl-",-2.2204460492503132e-17
1-Octanol,-2.2204460492503132e-17
Phenylethyl Alcohol,-2.2204460492503132e-17
2-Pentanol,-2.2204460492503132e-17
1 - Undecene,-2.2204460492503132e-17
"1-Propanol, 2-methyl-",-2.2204460492503132e-17
n-Pentadecanol,-2.2204460492503132e-17
2-Pentanone,-2.2204460492503132e-17
Methyl Isobutyl Ketone,-2.2204460492503132e-17
Hexadecanal,-2.2204460492503132e-17
"Butanoic acid, 2-methyl-, methyl ester",-2.2204460492503132e-17
"Acetophenone, 2'-amino-",-2.2204460492503132e-17
"Propanoic acid, 2-methyl-",-2.2204460492503132e-17
Methyl thiolacetate,-2.2204460492503132e-17
2-Tridecanol,-2.2204460492503132e-17
Methyl tetradecanoate,-2.2204460492503132e-17
2-Tridecanone,0.0
1-Decanol,0.0
 2-Pentadecanone,0.0
" Dodecanoic acid, ethyl ester",0.0
"1,4-Butanediol",0.0
1-Dodecanol,0.0
Tetradecanal,0.0
"Acetic acid, decyl ester",0.0
" Decanoic acid, ethyl ester",0.0
1-Tetradecanol,0.0
2-Undecanone,0.0
"Tetradecanoic acid, ethyl ester",0.0
Acetic acid,0.0
"1-Heptanol, 2,4-dimethyl-,",0.0
"Propanoic acid, ethyl ester",0.0
Decane,0.0
Amylene hydrate,0.0
Isobutyl acetate,0.0
Methyl isovalerate,0.0
1-Propanol,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.0
2-Hexanone,0.0
Ethyl isocyanide,0.0
"2-Pentanol, 2-methyl-",0.0
Propanoic acid,0.0
"1-Butanol, 3-methyl-, acetate",0.0
Dodecane,0.0
"2-Heptanone, 4,6-dimethyl-",0.0
" 3-Buten-1-ol, 3-methyl-",0.0
"Thiocyanic acid, methyl ester",0.0
"1-Pentanol, 2-methyl-",0.0
"2-Heptanol, 4-methyl-",0.0
 1-Hexadecanol,0.0
2-Nonanol,0.0
Pyrrole,0.0
"1H-Pyrrole, 2-methyl-",0.0
2-Heptanone,0.0
 Ethyl Acetate,0.04567645164266152
Ethanol,0.8673455522695995
