feature,mean_importance
"Butanoic acid, 2-methyl-, ethyl ester",-0.11307350322367093
Acetoin,-0.11153475538504584
2-Undecanone,-0.09499626569533476
Ethanol,-0.05029692139324846
1-Butanol,-0.04082685604656895
2-Nonanone ,-0.03907721251605256
Dodecane,-0.037457635536997456
" 3-Buten-1-ol, 3-methyl-",-0.031774237909518124
1 - Undecene,-0.03132025320578737
2-Nonanol,-0.02625107644910556
"1-Propanol, 2-methyl-",-0.010350652314761954
Amylene hydrate,-0.0075403818170182825
 1-Hexadecanol,-0.004131263425798193
2-Tridecanone,-0.003663419778140531
 2-Pentadecanone,-0.0018340149857724252
Hexadecanal,-0.001654591289268459
2-Dodecanone,-0.001537096432745666
 S-Methyl 3-methylbutanethioate,-0.0013018300344742827
n-Tridecan-1-ol,-0.0009814385600537268
Methyl tetradecanoate,-0.00019904915529882493
"Propanoic acid, 2-methyl-",0.00023774155403986086
2-Pentanol,0.00025580018975077665
n-Pentadecanol,0.0002681498734568466
"1-Butanol, 3-methyl-",0.0007208439411928724
"1-Heptanol, 2,4-dimethyl-,",0.00160410119319756
2-Undecanol,0.0016640630671195921
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.001910045403261007
" Decanoic acid, ethyl ester",0.002974943604980096
" Dodecanoic acid, ethyl ester",0.003535809325356598
"Benzoic acid, methyl ester",0.003822557561856077
1-Propanol,0.00426398087835902
Tetradecanal,0.004370558533053459
"1-Pentanol, 2-methyl-",0.004782256993958955
2-Tridecanol,0.0048358294781904124
"2-Pentanol, 2-methyl-",0.004925987901508578
"Tetradecanoic acid, ethyl ester",0.00494384195974007
Isobutyl acetate,0.005563727989161116
"Propanoic acid, ethyl ester",0.006081932398617007
Butyrolactone ,0.006539918513914911
Indole,0.006547136246519725
"1,4-Butanediol",0.006599054687566564
"1-Butanol, 3-methyl-, acetate",0.006924632796886043
1-Tetradecanol,0.007573593463251038
2-Pentanone,0.007848537666619504
1-Dodecanol,0.00919485698118927
Methyl isovalerate,0.01046455399213746
"Acetic acid, decyl ester",0.013900334922890844
1-Decanol,0.014528355636300838
Ethyl isocyanide,0.01812541636367464
Phenylethyl Alcohol,0.021517208813205513
1-Octanol,0.024540797961614146
2-Heptanone,0.02582734248414802
"2-Heptanone, 4,6-dimethyl-",0.027802672241286585
"Thiocyanic acid, methyl ester",0.028908696365860288
Pyrrole,0.03054345280376076
"Acetophenone, 2'-amino-",0.030733157363166508
"Butanoic acid, 2-methyl-, methyl ester",0.03186176278817214
Methyl thiolacetate,0.043209169287867485
 Ethyl Acetate,0.0471223652537935
Methyl Isobutyl Ketone,0.05380705603460458
2-Hexanone,0.054107946736621004
"2-Heptanol, 4-methyl-",0.06303549706486863
"1H-Pyrrole, 2-methyl-",0.082951548407118
Propanoic acid,0.09607967862775205
Decane,0.10696324100055052
Acetic acid,0.22984942387994206
"Butanoic acid, 3-methyl-",0.32780551094483573
