feature,shap_importance
Acetic acid,0.7732147535661904
Propanoic acid,0.7424377888433806
Acetoin,0.690784818651144
Decane,0.6297478284895843
"Butanoic acid, 3-methyl-",0.6222946359234516
2-Nonanone ,0.6019809620199147
2-Undecanone,0.5574663426055646
Methyl thiolacetate,0.5301405498320899
 Ethyl Acetate,0.47453141238260277
2-Hexanone,0.46282699149981027
1-Butanol,0.4301235618154571
"1H-Pyrrole, 2-methyl-",0.41359494631138055
Ethanol,0.40289722612824785
"2-Heptanol, 4-methyl-",0.39953682229166687
"Benzoic acid, methyl ester",0.3774506544521997
Methyl Isobutyl Ketone,0.3694460257311353
"Butanoic acid, 2-methyl-, ethyl ester",0.3497340907399482
" 3-Buten-1-ol, 3-methyl-",0.3454088354253413
Dodecane,0.3182410754243223
2-Dodecanone,0.30020193705654846
Methyl isovalerate,0.28546037053350626
"1,4-Butanediol",0.2830131652540504
Butyrolactone ,0.28222768322187486
Ethyl isocyanide,0.2695831048908482
Amylene hydrate,0.269152841384489
Phenylethyl Alcohol,0.2633437274611368
2-Heptanone,0.25651153337423616
Isobutyl acetate,0.23313583576345298
Indole,0.21689338147462023
1-Propanol,0.19324034841930982
"2-Heptanone, 4,6-dimethyl-",0.189828761388641
1-Octanol,0.1841338304314404
1-Decanol,0.18213926320315055
"Butanoic acid, 2-methyl-, methyl ester",0.1759514080898279
"Acetophenone, 2'-amino-",0.17443109813888813
n-Tridecan-1-ol,0.17392828608100147
"2-Pentanol, 2-methyl-",0.16526198636948058
"Acetic acid, decyl ester",0.15272404110930968
Hexadecanal,0.142659745095071
Pyrrole,0.13898395244706427
"Propanoic acid, 2-methyl-",0.13137358971193377
2-Nonanol,0.12836021666101183
2-Undecanol,0.12048875765519125
"1-Pentanol, 2-methyl-",0.11067847588487338
1 - Undecene,0.10754735496723261
2-Tridecanone,0.1024835541053428
1-Dodecanol,0.1014740116317887
2-Pentanone,0.09817076849788224
"Thiocyanic acid, methyl ester",0.09488203832972873
"1-Propanol, 2-methyl-",0.0894213671142549
 S-Methyl 3-methylbutanethioate,0.0889617067544304
"1-Butanol, 3-methyl-, acetate",0.07732310169814118
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.07227907605362235
"1-Heptanol, 2,4-dimethyl-,",0.07192027179354896
 2-Pentadecanone,0.07089471702048813
 1-Hexadecanol,0.06804543586783354
n-Pentadecanol,0.06780216687305796
2-Tridecanol,0.06677763763621854
"1-Butanol, 3-methyl-",0.06395069261807422
1-Tetradecanol,0.06357142894933418
Methyl tetradecanoate,0.05977843200828845
"Tetradecanoic acid, ethyl ester",0.05733723707497559
"Propanoic acid, ethyl ester",0.05692368954642796
2-Pentanol,0.04545441661528478
" Dodecanoic acid, ethyl ester",0.04341120627329487
Tetradecanal,0.041615429804865475
" Decanoic acid, ethyl ester",0.03564164373621533
