feature,mean_importance
"Butanoic acid, 2-methyl-, methyl ester",-0.051986039791995696
1 - Undecene,-0.020769421419663738
2-Tridecanone,-0.020273255405408187
"1-Butanol, 3-methyl-",-0.01798012327823646
2-Nonanol,-0.015190836386808649
Butyrolactone ,-0.007192049311294646
"1,4-Butanediol",-0.007192049311294646
Decane,-3.74999977736934e-09
"1-Butanol, 3-methyl-, acetate",0.0
1-Dodecanol,0.0
Dodecane,0.0
"Acetic acid, decyl ester",0.0
Methyl tetradecanoate,0.0
"Butanoic acid, 3-methyl-",0.0
Isobutyl acetate,0.0
2-Tridecanol,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.005068315101352061
"1-Heptanol, 2,4-dimethyl-,",0.0055785862828551915
1-Decanol,0.00866433975699934
Ethyl isocyanide,0.00866433975699934
1-Octanol,0.00866433975699934
2-Hexanone,0.019155953391224757
Phenylethyl Alcohol,0.0433216987849967
"1-Propanol, 2-methyl-",0.17057014651461094
2-Undecanol,0.1805514889673331
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.18135822298155277
"Acetophenone, 2'-amino-",0.18414751612298036
Acetic acid,0.18693680926440787
"2-Heptanone, 4,6-dimethyl-",0.19251539429726314
 S-Methyl 3-methylbutanethioate,0.19530468868869066
Pyrrole,0.23253752250932935
Acetoin,0.24642546511766242
2-Dodecanone,0.3475115044090493
1-Tetradecanol,0.3475115044090493
"1H-Pyrrole, 2-methyl-",0.3576481271117537
Methyl isovalerate,0.3611615097834706
"Thiocyanic acid, methyl ester",0.36271644471310555
1-Propanol,0.3627164447131056
n-Pentadecanol,0.36271644596310554
"Propanoic acid, ethyl ester",0.36271644596310554
" Decanoic acid, ethyl ester",0.36271644596310554
Tetradecanal,0.36271644596310554
Amylene hydrate,0.36271644596310554
Hexadecanal,0.36271644596310554
"Tetradecanoic acid, ethyl ester",0.36271644596310554
 2-Pentadecanone,0.36271644596310554
" Dodecanoic acid, ethyl ester",0.36271644596310554
"1-Pentanol, 2-methyl-",0.3713807857201049
"Benzoic acid, methyl ester",0.3741700788615325
n-Tridecan-1-ol,0.380696574241342
"2-Heptanol, 4-methyl-",0.40560050558265087
Indole,0.40603814474810207
 1-Hexadecanol,0.40603814474810207
Methyl thiolacetate,0.521832969579289
"2-Pentanol, 2-methyl-",0.540478643039011
 Ethyl Acetate,0.5605966156944373
Methyl Isobutyl Ketone,0.5616171655574431
Propanoic acid,0.5901856583710825
2-Pentanol,0.7218368660205638
Ethanol,0.7302047454448465
1-Butanol,0.7393793576333487
"Propanoic acid, 2-methyl-",0.894530750495117
2-Pentanone,0.9095804017991913
2-Undecanone,1.0729584965025079
2-Nonanone ,1.0996029657877435
2-Heptanone,1.2523341603568525
" 3-Buten-1-ol, 3-methyl-",1.2896255272762953
