feature,mean_importance
2-Nonanone ,-0.0153921556348602
"1H-Pyrrole, 2-methyl-",-0.011623575683269235
"1-Butanol, 3-methyl-",-0.00495775138131446
Butyrolactone ,-0.002820560532725519
"Acetophenone, 2'-amino-",-0.0015780691885285887
 S-Methyl 3-methylbutanethioate,-0.0015718636413415254
"1-Butanol, 3-methyl-, acetate",-0.0015023100707266062
Amylene hydrate,-0.0011794418717424066
2-Pentanone,-0.0005904252847863528
"Butanoic acid, 3-methyl-",-0.0004725567789541335
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-0.00032266980657974785
2-Undecanone,-0.00021352893155481833
2-Nonanol,-9.91592804590824e-05
 2-Pentadecanone,0.0
Pyrrole,0.0
Indole,0.0
1-Octanol,0.0
1-Dodecanol,0.0
" Decanoic acid, ethyl ester",0.0
2-Dodecanone,0.0
1-Decanol,0.0
" Dodecanoic acid, ethyl ester",0.0
"1,4-Butanediol",0.0
Phenylethyl Alcohol,0.0
Tetradecanal,0.0
"Propanoic acid, 2-methyl-",0.0
"Tetradecanoic acid, ethyl ester",0.0
"1-Pentanol, 2-methyl-",0.0
Hexadecanal,0.0
n-Pentadecanol,0.0
"Propanoic acid, ethyl ester",0.0
Ethyl isocyanide,0.0
1-Tetradecanol,0.0
1 - Undecene,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.0
n-Tridecan-1-ol,0.0
2-Tridecanone,1.254325939550882e-06
"1-Heptanol, 2,4-dimethyl-,",2.109581190679055e-05
Methyl tetradecanoate,2.8608511719441233e-05
Isobutyl acetate,5.163228553202726e-05
Propanoic acid,7.33086321916876e-05
 1-Hexadecanol,7.411852065060398e-05
2-Hexanone,0.00011476927126447822
2-Tridecanol,0.0001153538520965336
1-Propanol,0.000234891588075295
"Benzoic acid, methyl ester",0.0002595263326333641
"Acetic acid, decyl ester",0.000270307105448514
2-Heptanone,0.0003415636200871736
"Thiocyanic acid, methyl ester",0.0005583974429302779
Dodecane,0.0010243322907222657
2-Undecanol,0.0011766660544607372
"Butanoic acid, 2-methyl-, methyl ester",0.001420862206982243
"2-Pentanol, 2-methyl-",0.0029857278904981133
Methyl thiolacetate,0.004917951569788986
Methyl isovalerate,0.005893185651964614
2-Pentanol,0.006361707165423369
"2-Heptanone, 4,6-dimethyl-",0.009398608778913816
Decane,0.020839178365551766
Methyl Isobutyl Ketone,0.021006688744657574
Acetic acid,0.023548855818808077
"1-Propanol, 2-methyl-",0.03682763155342804
Acetoin,0.0398571259342134
"2-Heptanol, 4-methyl-",0.048234265152778885
" 3-Buten-1-ol, 3-methyl-",0.09077917417097423
1-Butanol,0.12102414376826749
 Ethyl Acetate,0.15879898905340167
Ethanol,0.36553698051720857
