feature,mean_importance
2-Pentanone,-0.0195214188822052
2-Heptanone,-0.006157539280898422
2-Pentanol,-0.004086969179265631
Hexadecanal,-0.0007579796016216223
 S-Methyl 3-methylbutanethioate,-0.0004989008693134011
"1-Pentanol, 2-methyl-",-0.0001703390522914794
"Acetophenone, 2'-amino-",-0.00012564841000472504
"2-Heptanone, 4,6-dimethyl-",0.0
" Dodecanoic acid, ethyl ester",0.0
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.0
 1-Hexadecanol,0.0
2-Nonanol,0.0
Indole,0.0
"Benzoic acid, methyl ester",0.0
2-Tridecanol,0.0
" Decanoic acid, ethyl ester",0.0
"Acetic acid, decyl ester",0.0
2-Dodecanone,0.0
2-Tridecanone,0.0
Pyrrole,0.0
"Propanoic acid, 2-methyl-",0.0
Tetradecanal,0.0
"1,4-Butanediol",0.0
n-Pentadecanol,0.0
1 - Undecene,0.0
 2-Pentadecanone,0.0
"Propanoic acid, ethyl ester",0.0
1-Tetradecanol,0.0
Ethyl isocyanide,0.0
n-Tridecan-1-ol,0.0
Isobutyl acetate,0.0
Methyl tetradecanoate,0.0
"1-Butanol, 3-methyl-, acetate",7.132493397769557e-05
"Thiocyanic acid, methyl ester",8.47030211897526e-05
2-Hexanone,8.479619727416176e-05
2-Undecanone,9.009890696581868e-05
"Butanoic acid, 2-methyl-, ethyl ester",0.00011526964166584941
Dodecane,0.00022394569481121174
1-Propanol,0.00031925961375237066
"Butanoic acid, 3-methyl-",0.000437343690325237
"Tetradecanoic acid, ethyl ester",0.0004602804780006464
Amylene hydrate,0.0006376840393332916
2-Nonanone ,0.0006729695726843454
"1-Propanol, 2-methyl-",0.0008023087592685995
Propanoic acid,0.0009399885640424876
"2-Heptanol, 4-methyl-",0.0009805452735985043
"1H-Pyrrole, 2-methyl-",0.002092411577263309
"1-Heptanol, 2,4-dimethyl-,",0.002177662731093527
Acetoin,0.0027468516765272013
"Butanoic acid, 2-methyl-, methyl ester",0.0027784434311530215
Phenylethyl Alcohol,0.002984224391334195
1-Octanol,0.0032792705604258844
1-Dodecanol,0.00424489573959042
Acetic acid,0.004875095802194934
Methyl Isobutyl Ketone,0.004973716135410711
Butyrolactone ,0.006186004596598016
1-Decanol,0.008181069769403521
Methyl isovalerate,0.009111938472179814
Decane,0.01915432482081301
Methyl thiolacetate,0.021881299202933035
"1-Butanol, 3-methyl-",0.03093741733361694
"2-Pentanol, 2-methyl-",0.05890490506940029
2-Undecanol,0.08566881555187353
" 3-Buten-1-ol, 3-methyl-",0.14576365932383958
1-Butanol,0.17392332411425956
Ethanol,0.2315434084438226
 Ethyl Acetate,0.2992977378780351
