feature,mean_importance
 Ethyl Acetate,-0.09759074649069903
"Benzoic acid, methyl ester",-0.08988231689629275
Pyrrole,-0.06309175671681164
Acetic acid,-0.047641311913637165
Acetoin,-0.046461182768836186
Hexadecanal,-0.04158266761910989
 S-Methyl 3-methylbutanethioate,-0.03903878037409956
"Acetic acid, decyl ester",-0.03731641758487727
Ethyl isocyanide,-0.036041846419798594
2-Heptanone,-0.03068030471446197
"Butanoic acid, 2-methyl-, ethyl ester",-0.030177102646442466
Methyl Isobutyl Ketone,-0.02863488318741021
"1H-Pyrrole, 2-methyl-",-0.026694795665995797
"1-Butanol, 3-methyl-, acetate",-0.020840730780552773
n-Tridecan-1-ol,-0.018420545612806503
2-Undecanone,-0.017694812498813974
"2-Pentanol, 2-methyl-",-0.015387671555243987
 1-Hexadecanol,-0.01529608811894434
"Thiocyanic acid, methyl ester",-0.014366313340776916
Ethanol,-0.014275522867347012
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-0.012718381984834926
"Propanoic acid, ethyl ester",-0.012385199158501337
2-Dodecanone,-0.011121476561752885
"1-Heptanol, 2,4-dimethyl-,",-0.010457684419879732
"Tetradecanoic acid, ethyl ester",-0.010242378274372087
1-Tetradecanol,-0.0101122968426417
"1-Butanol, 3-methyl-",-0.009437514880330778
Tetradecanal,-0.008986676907684555
Methyl thiolacetate,-0.008972997522175175
Isobutyl acetate,-0.008175601163225821
2-Pentanone,-0.008051583451912014
2-Pentanol,-0.007015959369999991
Propanoic acid,-0.006837077538882785
Methyl tetradecanoate,-0.006766864989097843
1-Propanol,-0.00662883294284562
" Dodecanoic acid, ethyl ester",-0.006128370107648195
 2-Pentadecanone,-0.005917449396375574
n-Pentadecanol,-0.005893902685706309
1-Dodecanol,-0.005499115884630789
"Propanoic acid, 2-methyl-",-0.0042597013851043645
"Acetophenone, 2'-amino-",-0.002853842704570764
" Decanoic acid, ethyl ester",-0.000987943056861007
"Butanoic acid, 3-methyl-",-0.0009117272013875466
Amylene hydrate,-0.0007940412431578058
2-Tridecanone,-0.00024534184606879174
"2-Heptanol, 4-methyl-",0.0011552772914148024
1 - Undecene,0.002271724277181564
2-Undecanol,0.0024028204880324868
Dodecane,0.006534472976504424
Indole,0.0075987462527555396
"Butanoic acid, 2-methyl-, methyl ester",0.00820763993605309
Methyl isovalerate,0.008547218892378972
"1-Propanol, 2-methyl-",0.009589340507649435
"1-Pentanol, 2-methyl-",0.01167003748120785
2-Nonanol,0.011823662670045577
"2-Heptanone, 4,6-dimethyl-",0.012419507850574463
" 3-Buten-1-ol, 3-methyl-",0.013653775570708904
1-Octanol,0.015150320737946244
Phenylethyl Alcohol,0.016218231672082584
2-Tridecanol,0.019243889291960505
Decane,0.036821377207546836
1-Decanol,0.04067251756996944
Butyrolactone ,0.04971783593156731
"1,4-Butanediol",0.04981317242620205
2-Nonanone ,0.06965748791340882
1-Butanol,0.07374808259014771
2-Hexanone,0.11928348388388013
