feature,shap_importance
 Ethyl Acetate,0.8514454686275693
Acetoin,0.8349589516186715
Decane,0.6506145892477619
Methyl thiolacetate,0.5695167682369642
Acetic acid,0.5427151917388746
2-Hexanone,0.5249362257738002
"Butanoic acid, 2-methyl-, ethyl ester",0.49123396261381047
"1,4-Butanediol",0.46043045921808234
Butyrolactone ,0.4596903965661068
Propanoic acid,0.4253401332579535
n-Tridecan-1-ol,0.38400993067315015
"Butanoic acid, 3-methyl-",0.3590532809895806
Pyrrole,0.34088862211347765
Ethyl isocyanide,0.32174555907740743
Ethanol,0.30440314931377
"Benzoic acid, methyl ester",0.29406235693757005
"Acetic acid, decyl ester",0.29371207287755463
Indole,0.29063352670738446
"1-Propanol, 2-methyl-",0.28497235301924084
"1-Butanol, 3-methyl-, acetate",0.269476829287405
2-Dodecanone,0.26687433804251914
1-Octanol,0.2454740323456103
2-Nonanone ,0.23932090176835627
" 3-Buten-1-ol, 3-methyl-",0.23916810370289768
1-Butanol,0.23424013640750543
1-Decanol,0.2296102947423375
Methyl Isobutyl Ketone,0.2165595899663419
Phenylethyl Alcohol,0.21554417078117455
" Decanoic acid, ethyl ester",0.20746129017324416
"1H-Pyrrole, 2-methyl-",0.20309368292299007
1-Propanol,0.19313422614000586
Hexadecanal,0.16392453476360713
n-Pentadecanol,0.16197236171627993
 2-Pentadecanone,0.15318203288115648
1-Tetradecanol,0.1481797377757011
Isobutyl acetate,0.14052164206044776
1-Dodecanol,0.13808137135292764
Methyl isovalerate,0.13077860945933695
"2-Heptanone, 4,6-dimethyl-",0.1295467252077106
"2-Pentanol, 2-methyl-",0.12230239657232282
"2-Heptanol, 4-methyl-",0.11743838200039666
 S-Methyl 3-methylbutanethioate,0.11610438844742993
2-Undecanone,0.11196723917376628
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.10919922765390172
2-Pentanone,0.10563578980802545
" Dodecanoic acid, ethyl ester",0.1008981436048989
"Propanoic acid, ethyl ester",0.09478594943965794
 1-Hexadecanol,0.09418758720442322
"1-Butanol, 3-methyl-",0.09411612193211662
2-Heptanone,0.09400064170729255
"1-Pentanol, 2-methyl-",0.09208637934201236
2-Tridecanol,0.09107568766750522
"Thiocyanic acid, methyl ester",0.08948405590511138
"1-Heptanol, 2,4-dimethyl-,",0.08034241380095035
"Tetradecanoic acid, ethyl ester",0.0783023514595669
Amylene hydrate,0.07303944426486755
Methyl tetradecanoate,0.07234359958661363
Dodecane,0.07161420474850669
2-Undecanol,0.06973976559837497
Tetradecanal,0.06872926763241731
"Propanoic acid, 2-methyl-",0.05518122806589692
2-Tridecanone,0.05463148736763895
"Butanoic acid, 2-methyl-, methyl ester",0.04637577131216356
2-Nonanol,0.04528420800932737
2-Pentanol,0.038885731921190936
"Acetophenone, 2'-amino-",0.0377616065227632
1 - Undecene,0.009877010469335895
