feature,mean_importance
"Benzoic acid, methyl ester",-1.7410389286229075
 Ethyl Acetate,-1.5032670102355714
Methyl thiolacetate,-1.3675353366573155
Pyrrole,-0.9764858183090812
 S-Methyl 3-methylbutanethioate,-0.9672438559016152
2-Undecanol,-0.9672438492349489
Ethyl isocyanide,-0.9672438492349489
Acetoin,-0.9537874702011706
"2-Heptanone, 4,6-dimethyl-",-0.7925952285577889
"Thiocyanic acid, methyl ester",-0.7737950847212922
1 - Undecene,-0.7737950847212922
2-Nonanol,-0.7737950847212922
" Decanoic acid, ethyl ester",-0.6080721967633673
2-Tridecanol,-0.6080721967633673
"1-Butanol, 3-methyl-",-0.5803463135409691
"1-Butanol, 3-methyl-, acetate",-0.559747653657016
"Butanoic acid, 2-methyl-, ethyl ester",-0.38712560593268563
Propanoic acid,-0.3868975396939792
1-Octanol,-0.20269073225445577
1-Dodecanol,-0.20269073225445577
"1-Pentanol, 2-methyl-",-0.19971548623693308
2-Dodecanone,-0.19971548623693297
n-Tridecan-1-ol,-0.19376499420188759
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-0.19344877118032305
"1H-Pyrrole, 2-methyl-",-0.19344877118032305
2-Undecanone,-0.19344876984698978
Dodecane,-0.029296327697816336
Phenylethyl Alcohol,0.0
"1,4-Butanediol",0.0
" Dodecanoic acid, ethyl ester",0.0
2-Tridecanone,0.0
1-Tetradecanol,0.0
1-Decanol,0.0
Ethanol,0.0
"Propanoic acid, ethyl ester",0.0
"Acetic acid, decyl ester",0.0
n-Pentadecanol,0.0
Tetradecanal,0.0
Butyrolactone ,0.0
"Acetophenone, 2'-amino-",0.0
2-Heptanone,0.0
"Propanoic acid, 2-methyl-",0.0
Methyl isovalerate,0.0
2-Pentanol,0.0
"2-Pentanol, 2-methyl-",0.0
 2-Pentadecanone,0.0
"Tetradecanoic acid, ethyl ester",0.0
1-Propanol,0.0
Methyl Isobutyl Ketone,0.0
Methyl tetradecanoate,0.0
2-Nonanone ,0.0
 1-Hexadecanol,0.0
Hexadecanal,0.0
"Butanoic acid, 2-methyl-, methyl ester",0.0
"2-Heptanol, 4-methyl-",0.0
"Butanoic acid, 3-methyl-",0.0038357609660236492
"1-Propanol, 2-methyl-",0.005406201441442082
"1-Heptanol, 2,4-dimethyl-,",0.0059504920350454075
1-Butanol,0.0059504920350454075
Indole,0.00681100698354653
Acetic acid,0.010646767949570002
" 3-Buten-1-ol, 3-methyl-",0.010812402882884164
Decane,0.016218604324326247
2-Hexanone,0.02043302095063959
Isobutyl acetate,0.02043302095063959
Amylene hydrate,0.02043302095063959
2-Pentanone,0.02043302095063959
