feature,mean_importance
1-Dodecanol,-0.03508803658187391
Ethyl isocyanide,-0.02756182630856835
Methyl Isobutyl Ketone,-0.01423140739401183
2-Nonanone ,-0.006545857215921114
"1-Propanol, 2-methyl-",-0.004416416734457052
Amylene hydrate,-0.0012748929858207969
"Butanoic acid, 2-methyl-, methyl ester",-0.0006267140309015983
Methyl isovalerate,-0.000545802861452127
"1H-Pyrrole, 2-methyl-",-0.00023869946599007762
Hexadecanal,-1.863367855551301e-05
Pyrrole,0.0
"1-Heptanol, 2,4-dimethyl-,",0.0
"Propanoic acid, 2-methyl-",0.0
2-Nonanol,0.0
1-Octanol,0.0
2-Undecanone,0.0
 1-Hexadecanol,0.0
Butyrolactone ,0.0
Indole,0.0
"2-Heptanol, 4-methyl-",0.0
"Acetic acid, decyl ester",0.0
2-Dodecanone,0.0
1-Decanol,0.0
2-Tridecanone,0.0
" Dodecanoic acid, ethyl ester",0.0
"1,4-Butanediol",0.0
Phenylethyl Alcohol,0.0
"Acetophenone, 2'-amino-",0.0
" Decanoic acid, ethyl ester",0.0
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.0
Tetradecanal,0.0
2-Tridecanol,0.0
n-Pentadecanol,0.0
"Propanoic acid, ethyl ester",0.0
1-Tetradecanol,0.0
Isobutyl acetate,0.0
1-Propanol,0.0
n-Tridecan-1-ol,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.0
2-Hexanone,0.0
2-Pentanol,0.0
"1-Butanol, 3-methyl-, acetate",0.0
"Tetradecanoic acid, ethyl ester",0.0
Dodecane,0.0
 2-Pentadecanone,0.0
 S-Methyl 3-methylbutanethioate,0.0
"2-Heptanone, 4,6-dimethyl-",0.0
Methyl tetradecanoate,0.0
"Thiocyanic acid, methyl ester",0.0
1 - Undecene,0.0
"1-Pentanol, 2-methyl-",7.800807555491395e-06
2-Heptanone,2.9411415259028573e-05
2-Pentanone,0.00024284906685351215
Acetoin,0.0003507031251986592
"Benzoic acid, methyl ester",0.0006517428159713457
Propanoic acid,0.001350136001904778
"Butanoic acid, 3-methyl-",0.0024177196125189206
Acetic acid,0.0067334939787785045
Ethanol,0.009433755291004963
"1-Butanol, 3-methyl-",0.010612064873178761
Methyl thiolacetate,0.012402045850952448
"2-Pentanol, 2-methyl-",0.012473097220063178
" 3-Buten-1-ol, 3-methyl-",0.01841123779614765
Decane,0.02202767379581926
2-Undecanol,0.03358987304071583
1-Butanol,0.08537565151850382
 Ethyl Acetate,0.1694611597806215
